Location,Property,"Employee Number","Bags of Salt Used? ","Bags of Calcium Used? ","How many Guys Servicing Property?","Total Man Hours of all Guys?","Submission Date","Submitted By","Assigned To"
"Sec 19 - Elk Grove Village","2781 Katherine",205,4,0,2,8,"2015-12-29 06:53:45","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1301-1401 Mark",205,4,0,2,8,"2015-12-29 06:54:36","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1400 Mark",205,3,0,2,7,"2015-12-29 06:56:04","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1300 Mark",205,3,0,2,7,"2015-12-29 06:56:54","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1239-1251 Mark",205,3,0,2,7,"2015-12-29 06:57:48","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1107 Mark",205,3,0,2,7,"2015-12-29 06:58:34","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2521 Lively",205,3,0,2,7,"2015-12-29 06:59:26","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2901 Lively",205,4,0,2,8,"2015-12-29 07:00:14","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1201 Kirk",205,4,0,2,8,"2015-12-29 07:01:14","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1501 Pratt",205,6,0,2,9,"2015-12-29 07:02:20","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1601 Pratt",205,5,0,2,8,"2015-12-29 07:03:11","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","951 Fargo",205,4,0,2,8,"2015-12-29 07:13:03","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Tech Center II",205,4,0,2,8,"2015-12-29 07:14:16","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","1800 Landmeier",205,4,0,2,8,"2015-12-29 07:14:55","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Tech Center I",205,4,0,2,8,"2015-12-29 07:15:37","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building B",205,4,0,2,8,"2015-12-29 07:16:23","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building A",205,4,0,2,8,"2015-12-29 07:17:21","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building E & F",205,4,0,2,8,"2015-12-29 07:18:07","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building Industrial Center",205,4,0,2,8,"2015-12-29 07:19:02","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","1500 Higgins Rd",205,4,0,2,8,"2015-12-29 07:19:50","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","1723 Marshall",205,3,0,2,8,"2015-12-29 07:21:04","SnowPlus Staff","Ernie Vargas"
"Sec 23 - Rosemount","Columbia Center I & II",205,12,0,2,12,"2015-12-29 07:28:08","SnowPlus Staff","Jim Jungles"
"Sec 23 - Rosemount","Columbia Center I & II",205,22,0,2,24,"2015-12-29 07:29:10","SnowPlus Staff","Jim Jungles"
"Sec 23 - Rosemount","Columbia Center III",205,12,0,2,12,"2015-12-29 07:30:29","SnowPlus Staff","Jim Jungles"
"Sec 23 - Rosemount","3708 River",205,10,0,2,12,"2015-12-29 07:31:42","SnowPlus Staff","Jim Jungles"
"Sec 24 - Elmhurst","11700 Grand",205,4,0,2,8,"2015-12-29 07:34:15","SnowPlus Staff","Jim Jungles"
"Sec 24 - Elmhurst","949 - 853 Larch",205,4,0,2,8,"2015-12-29 07:35:51","SnowPlus Staff","Jim Jungles"
"Sec 24 - Elmhurst","777 Church",205,4,0,2,8,"2015-12-29 07:36:36","SnowPlus Staff","Jim Jungles"
"Sec 21 - Bartlett","Stearns Crossing (Retail)",813,6,0,2,13,"2015-12-29 08:53:10","SnowPlus Staff","Chad Meyer"
"Sec 31 - Roselle","5700 Turnberry",813,6,0,2,13,"2015-12-29 09:01:28","SnowPlus Staff","Chad Meyer"
"Sec 31 - Roselle","Maines Foods",813,9,0,2,15,"2015-12-29 09:04:38","SnowPlus Staff","Chad Meyer"
"Sec 31 - Roselle","1600 Central",813,7,0,2,13,"2015-12-29 09:05:59","SnowPlus Staff","Chad Meyer"
"Sec 31 - Roselle","200 Gary",813,10,0,2,15,"2015-12-29 09:06:51","SnowPlus Staff","Chad Meyer"
"Sec 31 - Roselle","100 Gary",813,10,0,2,15,"2015-12-29 09:07:52","SnowPlus Staff","Chad Meyer"
"Sec 31 - Roselle","50 Gary",813,7,0,2,10,"2015-12-29 09:08:53","SnowPlus Staff","Chad Meyer"
"Sec 30 - Lisle / Warrenville","1000 & 1100 Warrenville",813,28,12,5,105,"2015-12-29 09:27:59","SnowPlus Staff","Scott Erickson"
"Sec 30 - Lisle / Warrenville","535 Diehl",813,12,0,1,14,"2015-12-29 09:28:49","SnowPlus Staff","Scott Erickson"
"Sec 30 - Lisle / Warrenville","Univ. Tech Institute",813,38,0,5,105,"2015-12-29 09:29:53","SnowPlus Staff","Jose Legaspi"
"Sec 30 - Lisle / Warrenville","Univ. Tech Institute",813,38,0,5,105,"2015-12-29 09:31:54","SnowPlus Staff","Jose Legaspi"
"Sec 17 - Lombard / Oakbrook","Eisenhower Buildings",205,32,0,4,92,"2015-12-29 09:34:30","SnowPlus Staff","Greg Skonie"
"Sec 04 - Aurora West / Batavia","Art Van - Batavia",813,10,0,2,20,"2015-12-29 09:34:41","SnowPlus Staff",
"Sec 04 - Aurora West / Batavia","2401 Kaneville Rd",813,12,0,2,21,"2015-12-29 09:35:27","SnowPlus Staff",
"Sec 22 - Elgin","2700 Alft",813,14,0,2,16,"2015-12-29 09:57:38","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin",Chase,813,120,0,10,190,"2015-12-29 09:58:41","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin","1385 Madeline",813,8,0,3,15,"2015-12-29 09:59:50","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin","1360 Madeline",813,8,0,3,14,"2015-12-29 10:00:34","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin","1675 Holmes",813,6,0,3,15,"2015-12-29 10:01:32","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin","1111 Davis",813,7,0,3,15,"2015-12-29 10:02:11","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin","901 Weseman",813,10,0,3,16,"2015-12-29 10:02:54","SnowPlus Staff","Freddy Martin"
"Sec 26 - Itaska","909 Irving Park",813,6,0,3,10,"2015-12-29 10:34:44","SnowPlus Staff","Don Down"
"Sec 26 - Itaska","690 Hilltop",813,8,0,3,14,"2015-12-29 10:36:15","SnowPlus Staff","Don Down"
"Sec 26 - Itaska","925 Thorndale",813,6,0,3,10,"2015-12-29 10:36:58","SnowPlus Staff","Don Down"
"Sec 26 - Itaska",Canon,813,10,0,3,15,"2015-12-29 10:38:14","SnowPlus Staff","Don Down"
"Sec 26 - Itaska","225 Windsor",813,12,0,3,15,"2015-12-29 10:39:20","SnowPlus Staff","Don Down"
"Sec 26 - Itaska","1376 Industrial",813,11,0,3,14,"2015-12-29 10:39:58","SnowPlus Staff","Don Down"
"Sec 15 - Carol Stream East","700 Kimberly",813,7,0,2,10,"2015-12-29 11:02:31","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","355 Long View",813,12,0,2,15,"2015-12-29 11:03:38","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","175 Wall St",813,8,0,2,10,"2015-12-29 11:04:20","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","125 Army Trail",813,15,0,2,16,"2015-12-29 11:05:33","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","376 Lies",813,15,0,3,20,"2015-12-29 11:07:20","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","900 Kimberly",813,14,0,2,16,"2015-12-29 11:08:29","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","810 Kimberly",813,20,0,3,20,"2015-12-29 11:09:30","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","230 Lies",813,12,0,2,14,"2015-12-29 11:12:12","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","437 Tower",813,25,0,3,25,"2015-12-29 11:14:12","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","545 Fullerton",813,14,0,2,15,"2015-12-29 11:15:16","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","417 Village",813,14,0,2,15,"2015-12-29 11:16:08","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","90 West Lake",813,10,0,2,10,"2015-12-29 11:16:50","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","221 Covington",813,4,0,2,3,"2015-12-29 11:17:43","SnowPlus Staff","Cody Moutvic"
"Sec 34 - Woodridge Retail","Art Van - Woodridge",447,20,0,4,16,"2015-12-29 11:18:34","SnowPlus Staff","Dan Castro"
"Sec 16 - Carol Stream West","225 Westgate",813,14,0,2,16,"2015-12-29 11:19:17","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","365 North Ave",813,13,0,3,20,"2015-12-29 11:20:23","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","235 Tubeway",813,14,0,2,16,"2015-12-29 11:21:03","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","138-158 Alexandra Way",813,15,0,2,16,"2015-12-29 11:21:50","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","Wheaton Sports Center",813,20,0,3,22,"2015-12-29 11:22:20","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","189 Easy",813,10,0,2,12,"2015-12-29 11:23:04","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","Fresh Markets",813,18,0,3,21,"2015-12-29 11:23:33","SnowPlus Staff","Leo Vargas"
"Sec 34 - Woodridge Retail","Darien Towne Center",447,38,0,4,32,"2015-12-29 11:26:36","SnowPlus Staff","Dan Castro"
"Sec 34 - Woodridge Retail","Centerpointe Retail Centre",447,41,0,4,40,"2015-12-29 11:32:36","SnowPlus Staff","Dan Castro"
"Sec 07 - Bensenville","950-990 Supreme",813,6,0,2,13,"2015-12-29 11:43:01","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","971-991 Supreme",813,8,0,2,14,"2015-12-29 11:43:39","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","659-699 Supreme",813,8,0,2,10,"2015-12-29 11:44:21","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","645-651 Supreme",813,10,0,2,14,"2015-12-29 11:44:58","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","595-601 Supreme",813,9,0,2,12,"2015-12-29 11:45:40","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","630-650 Supreme",813,10,0,2,13,"2015-12-29 11:46:06","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","600-608 & 610-620 Supreme ( 2 bdgs)",813,10,0,2,12,"2015-12-29 11:46:44","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","560-590 Supreme",813,9,0,2,12,"2015-12-29 11:47:16","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","860-888 Thomas",813,8,0,2,12,"2015-12-29 11:47:52","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","877 Supreme",813,9,0,2,12,"2015-12-29 11:48:26","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","975-1001 Bryn Mawr",813,10,0,2,12,"2015-12-29 11:48:58","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","626-630 Thomas",813,8,0,2,11,"2015-12-29 11:49:25","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","1010 Foster",813,12,0,2,13,"2015-12-29 11:50:01","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","571-599 Edgewood",813,7,0,2,10,"2015-12-29 11:50:37","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","311 Richert",813,7,0,2,10,"2015-12-29 11:51:09","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","855 Woodale",813,8,0,2,12,"2015-12-29 11:51:43","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","201 Hansen",813,12,0,2,15,"2015-12-29 11:52:10","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","1141 Ellis",813,8,0,2,12,"2015-12-29 11:52:38","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","1001 Foster",813,2,0,2,2,"2015-12-29 11:53:09","SnowPlus Staff","Ernie Vargas"
"Sec 32 - Schaumburg",Sunstar,813,16,0,5,120,"2015-12-29 12:00:51","SnowPlus Staff","Brandon Temesuary"
"Sec 32 - Schaumburg","1051 Perimeter",813,8,0,2,16,"2015-12-29 12:03:55","SnowPlus Staff","Brandon Temesuary"
"Sec 32 - Schaumburg","Bed Bath & Beyond",813,10,0,2,14,"2015-12-29 12:04:42","SnowPlus Staff","Brandon Temesuary"
"Sec 32 - Schaumburg","1300 Plum Grove",813,9,0,2,13,"2015-12-29 12:05:15","SnowPlus Staff","Brandon Temesuary"
"Sec 32 - Schaumburg","1201 Wiley",813,10,0,2,14,"2015-12-29 12:05:46","SnowPlus Staff","Brandon Temesuary"
"Sec 32 - Schaumburg","5201 Tollview",813,4,0,2,5,"2015-12-29 12:06:18","SnowPlus Staff","Brandon Temesuary"
"Sec 32 - Schaumburg","930 National",813,7,0,2,10,"2015-12-29 12:06:50","SnowPlus Staff","Brandon Temesuary"
"Sec 32 - Schaumburg","1301 Basswood",813,2,0,2,2,"2015-12-29 12:10:17","SnowPlus Staff","Brandon Temesuary"
"Sec 32 - Schaumburg","Art Van Schaumburg",813,4,0,2,4,"2015-12-29 12:11:02","SnowPlus Staff","Brandon Temesuary"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing",419,4,0,3,1,"2015-12-30 07:39:32","SnowPlus Staff","Wally Sternberg"
"Sec 32 - Schaumburg","1301 Basswood",813,2,0,2,2,"2015-12-30 08:03:12","SnowPlus Staff","Brandon Temesuary"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing",419,4,0,3,1,"2015-12-30 11:56:32","SnowPlus Staff","Wally Sternberg"
"Sec 25 - Glendale Heights","1620 & 1640 Fullerton Ct",3,4,0,3,15,"2015-12-30 12:01:37","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","1620 & 1640 Fullerton Ct",3,3,0,1,1,"2015-12-30 12:02:28","SnowPlus Staff","Paul Steinhauer"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing",3,4,0,3,2,"2015-12-30 12:07:34","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","780 Belden",419,4,0,3,25,"2015-12-30 12:09:46","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","775 Belden",419,4,0,3,25,"2015-12-30 12:11:18","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","710 Belden",419,4,0,3,2,"2015-12-30 12:12:32","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","2171 Executive",419,6,0,3,2,"2015-12-30 12:13:42","SnowPlus Staff","Wally Sternberg"
"Sec 25 - Glendale Heights","1620 & 1640 Fullerton Ct",419,5,0,3,2,"2015-12-30 12:14:42","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","699 Regency",419,3,0,3,2,"2015-12-30 12:15:34","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","139 Army Trail",419,5,0,3,25,"2015-12-30 12:16:28","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","111 International",419,1,0,3,1,"2015-12-30 12:17:20","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","80 International",419,2,0,3,15,"2015-12-30 12:18:25","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","110 International",419,1,0,3,1,"2015-12-30 12:19:12","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","180 Exchange",419,1,0,3,1,"2015-12-30 12:19:53","SnowPlus Staff","Paul Steinhauer"
